zip3,zip3.city.usps,zip3.state.usps,zip3.city.wiki,zip3.state.wiki
825,Riverton,WY,Riverton,WY
826,Casper,WY,Casper,WY
827,Gillette,WY,Newcastle,WY
828,Sheridan,WY,Sheridan,WY
829,Rock Springs,WY,Rock Springs,WY
830,Rock Springs,WY,Jackson,WY
831,Rock Springs,WY,Kemmerer,WY
832,Pocatello,ID,Pocatello,ID
833,Twin Falls,ID,Twin Falls,ID
834,Pocatello,ID,Idaho Falls,ID
835,Lewiston,ID,Lewiston,ID
836,Boise,ID,Boise,ID
837,Boise,ID,Boise,ID
838,Spokane,WA,Spokane (WA),ID
839,,,Not in use,""
840,Salt Lake Cty,UT,Salt Lake City,UT
841,Salt Lake Cty,UT,Salt Lake City,UT
842,Salt Lake Cty,UT,Ogden,UT
843,Salt Lake Cty,UT,Ogden,UT
844,Ogden,UT,Ogden,UT
845,Provo,UT,Price,UT
846,Provo,UT,Provo,UT
847,Provo,UT,Richfield,UT
848,,,Not in use,""
849,,,Not in use,""
850,Phoenix,AZ,Phoenix,AZ
851,,,Phoenix,AZ
852,Phoenix,AZ,Mesa,AZ
853,Phoenix,AZ,Glendale,AZ
854,,,Not in use,""
855,Globe,AZ,Globe,AZ
856,Tucson,AZ,Tucson,AZ
857,Tucson,AZ,Tucson,AZ
858,,,Not in use,""
859,Show Low,AZ,Show Low,AZ
860,Flagstaff,AZ,Flagstaff,AZ
861,,,Not in use,""
862,,,Not in use,""
863,Prescott,AZ,Prescott,AZ
864,Kingman,AZ,Kingman,AZ
865,Gallup,NM,Gallup (NM),AZ
866,,,Not in use,""
867,,,Not in use,""
868,,,Not in use,""
869,,,Not in use,""
870,Albuquerque,NM,Albuquerque,NM
871,Albuquerque,NM,Albuquerque,NM
872,Albuquerque,NM,Not in use,""
873,Gallup,NM,Gallup,NM
874,Farmington,NM,Farmington,NM
875,Albuquerque,NM,Santa Fe,NM
876,,,Not in use,""
877,Las Vegas,NM,Las Vegas,NM
878,Socorro,NM,Socorro,NM
879,Truth or Cons,NM,Truth or Consequences,NM
880,Las Cruces,NM,Las Cruces,NM
881,Clovis,NM,Clovis,NM
882,Roswell,NM,Roswell,NM
883,Alamogordo,NM,Carrizozo,NM
884,Tucumcari,NM,Tucumcari,NM
885,El Paso,TX,El Paso,TX
886,,,Not in use,""
887,,,Not in use,""
888,,,Not in use,""
889,Las Vegas,NV,The Lakes,NV
890,Las Vegas,NV,Las Vegas,NV
891,Las Vegas,NV,Las Vegas,NV
892,,,Not in use,""
893,Ely,NV,Ely,NV
894,Reno,NV,Reno,NV
895,Reno,NV,Reno,NV
896,,,Not in use,""
897,Carson City,NV,Carson City,NV
898,Elko,NV,Elko,NV
899,,,Not in use,""
900,Los Angeles,CA,Los Angeles,CA
901,Los Angeles,CA,Los Angeles,CA
902,Inglewood,CA,Los Angeles,CA
903,Inglewood,CA,Inglewood,CA
904,Santa Monica,CA,Santa Monica,CA
905,Torrance,CA,Torrance,CA
906,Long Beach,CA,Whittier,CA
907,Long Beach,CA,Long Beach,CA
908,Long Beach,CA,Long Beach,CA
909,,,Not in use,""
910,Pasadena,CA,Pasadena,CA
911,Pasadena,CA,Pasadena,CA
912,Glendale,CA,Glendale,CA
913,Van Nuys,CA,Thousand Oaks,CA
914,Van Nuys,CA,Van Nuys,CA
915,Burbank,CA,Burbank,CA
916,North Hollywood,CA,North Hollywood,CA
917,Industry,CA,Rancho Cucamonga,CA
918,Industry,CA,Alhambra,CA
919,San Diego,CA,San Diego,CA
920,San Diego,CA,San Diego,CA
921,San Diego,CA,San Diego,CA
922,Sn Bernardino,CA,Indio,CA
923,Sn Bernardino,CA,San Bernardino,CA
924,Sn Bernardino,CA,San Bernardino,CA
925,Sn Bernardino,CA,Riverside,CA
926,Santa Ana,CA,Irvine,CA
927,Santa Ana,CA,Santa Ana,CA
928,Anaheim,CA,Anaheim,CA
929,,,Not in use,""
930,Oxnard,CA,Ventura,CA
931,Santa Barbara,CA,Santa Barbara,CA
932,Bakersfield,CA,Bakersfield,CA
933,Bakersfield,CA,Bakersfield,CA
934,Santa Barbara,CA,San Luis Obispo,CA
935,Mojave,CA,Mojave,CA
936,Fresno,CA,Fresno,CA
937,Fresno,CA,Fresno,CA
938,Fresno,CA,Fresno,CA
939,Salinas,CA,Salinas,CA
940,San Francisco,CA,San Francisco,CA
941,San Francisco,CA,San Francisco,CA
942,Sacramento,CA,Sacramento,CA
943,Palo Alto,CA,Palo Alto,CA
944,San Mateo,CA,San Mateo,CA
945,Oakland,CA,Oakland,CA
946,Oakland,CA,Oakland,CA
947,Berkeley,CA,Berkeley,CA
948,Richmond,CA,Richmond,CA
949,North Bay,CA,San Rafael,CA
950,San Jose,CA,San Jose,CA
951,San Jose,CA,San Jose,CA
952,Stockton,CA,Stockton,CA
953,Stockton,CA,Stockton,CA
954,North Bay,CA,Santa Rosa,CA
955,Eureka,CA,Eureka,CA
956,Sacramento,CA,Sacramento,CA
957,Sacramento,CA,Sacramento,CA
958,Sacramento,CA,Sacramento,CA
959,Marysville,CA,Marysville,CA
960,Redding,CA,Redding,CA
961,Reno,NV,Reno (NV),CA
962,Apo/Fpo,AP,Military,AP
963,Apo/Fpo,AP,Military,AP
964,Apo/Fpo,AP,Military,AP
965,Apo/Fpo,AP,Military,AP
966,Fpo,AP,Military,AP
967,Honolulu,HI,Honolulu,HI
968,Honolulu,HI,Honolulu,HI
969,Barrigada,GU,Barrigada,GU
970,Portland,OR,Portland,OR
971,Portland,OR,Portland,OR
972,Portland,OR,Portland,OR
973,Salem,OR,Salem,OR
974,Eugene,OR,Eugene,OR
975,Medford,OR,Medford,OR
976,Klamath Falls,OR,Klamath Falls,OR
977,Bend,OR,Bend,OR
978,Pendleton,OR,Pendleton,OR
979,Boise,ID,Boise (ID),OR
980,Seattle,WA,Seattle,WA
981,Seattle,WA,Seattle,WA
982,Everett,WA,Everett,WA
983,Tacoma,WA,Tacoma,WA
984,Tacoma,WA,Tacoma,WA
985,Olympia,WA,Olympia,WA
986,Portland,OR,Portland (OR),WA
987,,,Not in use,""
988,Wenatchee,WA,Wenatchee,WA
989,Yakima,WA,Yakima,WA
990,Spokane,WA,Spokane,WA
991,Spokane,WA,Spokane,WA
992,Spokane,WA,Spokane,WA
993,Pasco,WA,Pasco,WA
994,Lewiston,ID,Lewiston (ID),WA
995,Anchorage,AK,Anchorage,AK
996,Anchorage,AK,Anchorage,AK
997,Fairbanks,AK,Fairbanks,AK
998,Juneau,AK,Juneau,AK
999,Ketchikan,AK,Ketchikan,AK
