GEOID,slope.unavailable,water.unavailable,wetlands.unavailable,NAME,total.unavailable,slope.unavailable.touches.mean,water.unavailable.touches.mean,wetlands.unavailable.touches.mean,total.unavailable.touches.mean,slope.unavailable.touches.min,water.unavailable.touches.min,wetlands.unavailable.touches.min,total.unavailable.touches.min,slope.unavailable.touches.max,water.unavailable.touches.max,wetlands.unavailable.touches.max,total.unavailable.touches.max
01001,13.64758274244,2.34916096818122,7.01197414083435,Autauga,23.0087178514555,8.60924224312611,3.09672093847938,10.1855586503335,21.891521831939,1.57235507881102,1.88481703523665,2.26184281194257,18.7000411118739,17.5036657929153,6.67765744990569,15.7947804640383,26.7704530743583
01003,0.635448948926773,13.6351085909271,27.2837942963204,Baldwin,41.5543518361742,5.02482920816544,3.76514993750087,17.2222928144789,26.0122719601452,0.695962150056626,0.616686324378587,11.6753345957194,13.6142302313407,12.5277995159147,13.5512570421826,24.0480144049858,38.295233597225
01005,5.23175813100832,3.34872376017237,6.28557487023738,Barbour,14.8660567614181,3.9541021243032,1.64311467729372,7.41914746912379,13.0163642707207,2.8737429864852,0.712540921936175,4.21482379682449,10.2266532669882,4.7238145502887,3.76077264262976,9.70460725303571,14.7381008748259
01007,23.1150373256781,0.727446317832498,4.22092780894281,Bibb,28.0634114524534,21.3802082995399,2.39930802616852,6.54383441698094,30.3233507426894,10.8208669152851,1.55888150921891,0.939513789017337,21.6971548055097,33.8153826460494,4.3693973824105,17.5115107758155,36.4300875824541
01009,25.8484257391263,0.936194771099343,0.767494661843525,Blount,27.5521151720692,26.0299595045676,3.4221689549606,1.55387771714148,31.0060061766697,19.94839810406,1.55888150921891,0.805821440539333,24.9130363518364,33.8153826460494,7.95413918947141,2.28945471595996,37.3594589252942
01011,2.8737429864852,1.06816127250478,9.70460725303571,Bullock,13.6465115120257,3.56878113029759,1.94701422835638,9.97378005788176,15.4895754165357,1.57235507881102,0.814815550797428,6.28557487023738,13.7711447100207,5.23175813100832,3.34872376017237,14.513996504135,18.7000411118739
01013,4.41849914318862,0.415190438101062,7.47368638738158,Butler,12.3073759686713,4.93611192408465,1.20462660784007,10.0321207369608,16.1728592688855,1.65148717127301,0.339962047312723,5.20146538036182,7.91921157731208,8.76841374258575,2.25205031271615,14.2472183694357,24.4820293341345
01015,30.2131411927124,1.28538484436586,0.776556789693968,Calhoun,32.2750828267723,25.8348210333886,3.38509439164079,1.71665756394378,30.9365729889732,19.0170189553292,0.416034778117997,0.790687681015595,25.4707312197379,41.2314362508141,6.02378520254187,2.28945471595996,42.4381587099477
01017,3.31232604281576,2.77019783877746,3.1988501029808,Chambers,9.28137398457402,18.1010589468321,4.6259077886108,1.18630592619555,23.9132726616384,14.0215604405197,2.57574551746296,0.776589901776705,22.2936524508927,22.1805574531445,6.67607005975865,1.59602195061439,25.5328928723842
01019,19.0170189553292,6.02378520254187,1.6434174184376,Cherokee,26.6842215763086,26.9142739140579,1.13744367267186,0.969002935217362,29.0207205219472,15.1737130991322,0.330782478686742,0.394413753511971,15.8989093313309,41.2314362508141,2.51757258951684,1.91435351664791,42.4381587099477
01021,17.5036657929153,1.93164620065189,2.26184281194257,Chilton,21.6971548055097,17.3898193312252,2.91024980066428,6.22220156453523,26.5222706964247,8.5998781326452,0.727446317832498,1.16938642199275,21.0103538777878,27.0418825915117,6.67765744990569,15.7947804640383,32.0056495685421
01023,12.1341308948218,1.41594607081033,11.9925381814437,Choctaw,25.5426151470758,5.32707418148325,2.04267988892249,18.7508140397833,26.1205681101891,1.80976132102733,1.39113760979339,16.7274329028493,19.92833183367,12.5277995159147,2.70968094917555,21.1552069054344,35.8958417628835
01025,12.5277995159147,2.21283534153429,21.1552069054344,Clarke,35.8958417628835,5.83883780735489,3.60085693484152,16.6730221682901,26.1127169104865,0.635448948926773,1.05383336961546,11.9925381814437,19.92833183367,12.1341308948218,13.6351085909271,27.2837942963204,41.5543518361742
01027,34.2432522524934,0.534327314273996,1.19160529813935,Clay,35.9691848649067,25.238201549469,3.43559221370791,1.25561208861146,29.9294058517884,14.0215604405197,0.416034778117997,0.776589901776705,22.2936524508927,41.2314362508141,6.67607005975865,1.94537448765784,42.4381587099477
01029,41.2314362508141,0.416034778117997,0.790687681015595,Cleburne,42.4381587099477,24.8987855427667,2.42495945121605,1.15830498115554,28.4820499751383,19.0170189553292,0.414783670489306,0.616285991227771,23.0542420532826,34.2432522524934,6.02378520254187,1.94537448765784,35.9691848649067
01031,2.62582731780351,0.80696145884008,4.50367805780016,Coffee,7.93646683444374,2.69751542418139,0.841750291320767,7.65739697851825,11.1966626940204,0.41057518729474,0.63083785648217,5.20146538036182,7.91921157731208,4.28352305377238,1.06625902567726,9.63976227025613,14.7381008748259
01033,21.6277246838498,7.94276476547274,3.33273951489465,Colbert,32.9032289642172,19.5721621942234,5.57307283233802,3.35702525569817,28.5022602822596,15.0648798253724,1.73009679485429,1.73432556795506,27.1420406489417,26.88154448372,9.57031744012346,5.82990681569366,30.3459668465293
01035,2.27445419194402,0.339962047312723,5.43149263763469,Conecuh,8.04590887689144,4.04015234207253,0.787992289443093,9.21399040671711,14.0421350382327,1.32220931124273,0.415190438101062,5.20146538036182,7.91921157731208,8.76841374258575,1.06625902567726,12.5054752634056,22.3277223756068
01037,27.0418825915117,3.79438055503764,1.16938642199275,Coosa,32.0056495685421,19.9909132809899,3.73063519518406,2.27508242038803,25.996630896562,10.1616773746224,0.534327314273996,1.19160529813935,21.0103538777878,34.2432522524934,6.67765744990569,4.17101905325976,35.9691848649067
