state.fips,state.abb,slope.unavailable,water.unavailable,wetlands.unavailable,total.unavailable
01,AL,15.6452059122743,3.37742681686022,6.77853353097345,25.801166260108
04,AZ,25.9929317869785,0.300350646562995,0.50719178846643,26.8004742220079
05,AR,17.619239462685,2.67983803336621,8.25551518497266,28.5545926810239
06,CA,39.1840067643231,5.20539446970767,1.09363626894019,45.483037502971
08,CO,21.9777012922898,1.02663069150151,2.10912410210929,25.1134560859006
09,CT,15.9918838381381,6.21624039303358,7.42734585486445,29.6354700860362
10,DE,3.05833624531599,10.5439333814153,16.5020490755578,30.1043187022891
11,DC,8.45358014733579,8.54318014971916,1.4580750745216,18.4548353715765
12,FL,0.0987923852531793,12.814062782262,33.9874464122857,46.9003015798009
13,GA,10.6923096617907,2.54965452843951,9.08610911105315,22.3280733012834
16,ID,52.7486217930886,0.998935233990646,0.727275711814843,54.4748327388941
17,IL,1.65129586828502,3.85380883141982,2.00193017430253,7.50703487400736
18,IN,4.05970908448699,1.94219324568644,1.93188434020077,7.9337866703742
19,IA,4.54193677835488,1.61261288651612,2.59022271146452,8.74477237633552
20,KS,2.93760619972638,1.83733197369234,0.981792618089432,5.75673079150815
21,KY,32.9666689898512,1.98285688237011,0.946948925833281,35.8964747980546
22,LA,0.380898606961015,21.2828536923805,29.172780891398,50.8365331907395
23,ME,12.8048630486705,11.2237670685483,11.3209410626202,35.349571179839
24,MD,10.0389255903368,10.6819301518667,6.11402061108468,26.8348763532882
25,MA,7.66394873058564,10.6210281982492,11.6219237460057,29.9069006748405
26,MI,1.27944374674873,6.56747085419115,10.2311939798454,18.0781085807852
27,MN,3.12927105454915,6.07945685894153,9.36519714335754,18.5739250568482
28,MS,3.58918609334468,4.28139947266159,16.2538221064069,24.1244076724132
29,MO,11.3729663195955,2.79618985968774,2.41204438119681,16.5812005604801
30,MT,46.2430167731858,1.10754666283831,1.39554908193373,48.7461125179579
31,NE,4.09370924896039,1.90252060595093,2.34403095156235,8.34026080647368
32,NV,32.5869943045009,0.997822934379646,0.306829550671585,33.8916467895521
33,NH,23.7547348960343,3.9321959804979,7.9542586554244,35.6411895319566
34,NJ,5.27501840528682,8.57276706608208,15.0615228949195,28.9093083662884
35,NM,18.0642440539124,0.221783311920839,0.722956787914554,19.0089841537478
36,NY,8.78311237785144,15.2064337695573,4.99698031690228,28.986526464311
37,NC,14.1520877926174,4.28074448246271,9.14888500729958,27.5817172823797
38,ND,2.95220171610099,3.55925584008159,4.58831691408084,11.0997744702634
39,OH,9.86265915567876,3.20907927289561,1.37743993761814,14.4491783661925
40,OK,4.47861893376182,2.38863227779745,0.378511949757478,7.24576316131675
41,OR,44.5081838307633,4.48200433345574,2.78369127031052,51.7738794345295
42,PA,24.2125096406665,2.87397141709449,1.73403731610647,28.8205183738675
44,RI,3.83127909601727,15.2952921971091,10.3837246540992,29.5102959472256
45,SC,6.65631789086493,5.4774976447939,19.016129470186,31.1499450058448
46,SD,5.84505453731631,2.9194857647558,1.87470677383541,10.6392470759075
47,TN,30.4119175104749,3.37329254868764,3.09335221136475,36.8785622705273
48,TX,2.09034165965068,4.19688460555724,5.95533590755429,12.2425621727622
49,UT,38.1937057527128,7.88981494759942,2.63345750294095,48.7169782032532
50,VT,41.3164690374849,6.08723805643788,4.57944462042033,51.9831517143431
51,VA,18.9859554177176,8.54669065083722,7.28720908058142,34.8198551491362
53,WA,40.1918624122884,10.7255882840332,1.94474851055451,52.8621992068761
54,WV,72.7967778597571,1.24441285310293,0.116571892467312,74.1577626053274
55,WI,5.2217240840628,6.45887423506085,9.9199267758874,21.600525095011
56,WY,27.7135266405342,0.697703745536929,1.93178632888721,30.3430167149583
