GEOID,czPop2000,slope.unavailable,water.unavailable,wetlands.unavailable,total.unavailable
060,448828,4.50395753793691,2.74895097741965,10.6387988694274,17.8917073847839
254,558355,0.716843959049844,13.1782189818966,24.6244782496681,38.5195411906145
020,43350,4.872673086398,3.10386495611196,7.25199274464978,15.2285307871597
021,981525,30.3308201088398,1.88982369382627,1.3681518186988,33.5887956213649
303,239330,21.6807163942328,1.30739201702105,1.59056809027785,24.5786765015317
409,217969,6.78143237638944,3.50430391713279,4.35504202039985,14.6407783139221
558,274130,19.1558270532441,3.94105174181278,1.36802006633513,24.4648988613921
312,94309,8.26392650153479,2.0767139569147,17.5103833429268,27.8510238013762
190,148252,21.2059801382935,4.24450598192587,1.71129852997417,27.1617846501935
188,223605,1.83954259357826,1.05573253738668,7.2054398099708,10.1007149409357
140,174173,19.2549849640914,7.65105001365533,2.62908247411149,29.5351174518582
380,76853,3.85350483272124,0.704313305612382,10.7934282583395,15.3512463966731
120,597066,17.0933897789153,3.260189297064,3.88741574763652,24.2409948236158
458,58226,10.2831122726772,2.21754209493288,14.3500777609826,26.8507321285927
462,161169,30.5997737773813,1.47390310836882,3.22804035225782,35.3017172380079
216,212983,23.0169003763008,2.34964654619658,9.5868560735183,34.9534029960156
106,585556,32.345220820104,3.53090875475044,0.82897437670719,36.7051039515616
022,442853,6.40858512784302,2.15017098740854,5.32445487947923,13.8832109947308
552,267286,18.0312615841133,0.0887322758269461,0.210091388389103,18.3300852483293
476,999882,22.4031768084761,0.0281466642351352,0.588886534909609,23.0202100076208
438,289883,35.4611605104182,0.295068573215865,0.285095464059243,36.0413245476933
158,3303211,24.2263502326254,0.448025087314034,0.87532985985026,25.5497051797897
207,42036,48.7396757397136,0.0451142551561947,0.570260248570814,49.3550502434406
323,,38.8371785803745,8.43307151898397,0.394862557248173,47.6651126566067
297,1568418,35.7998865537998,1.89948682865693,0.419819721930753,38.1191931043875
658,302387,13.7172567365709,3.22571933373056,0.755039918281322,17.6980159885828
553,40542,0.0913179581680217,4.02709230684654,31.8817030058525,36.000113270867
602,38326,0.178167834858843,5.92432727609416,20.0817281451706,26.1842232561236
321,64068,40.598010598804,5.16037685506017,0.136450551493044,45.8948380053572
240,347045,31.2756841310231,2.04352608791051,0.380297670879153,33.6995078898127
185,67913,45.2171421264819,2.02287942284791,0.219153196036048,47.4591747453659
225,154005,0.144058128055675,3.65697373933426,20.3940453878918,24.1950772552817
092,89373,0.706544806690651,1.55034136743042,22.8687715466904,25.1256577208114
411,171441,26.6890870914851,4.44791252952269,2.42306361903065,33.5600632400385
259,198671,1.68117952287185,1.48750449370964,7.73232510513574,10.9010091217172
568,118370,7.98443789933003,2.54133113850472,8.82998299244576,19.3557520302805
422,34162,0.212795805064607,1.55622186075752,7.6481860710415,9.41720373686362
071,630854,11.1565276311633,3.85248807443048,7.27295507211081,22.2819707777046
049,258543,21.9941864085893,3.45193616669035,1.51976930235727,26.965891877637
001,1197312,1.1205368956566,5.38588122810429,10.9189987915341,17.425416915295
413,87880,1.71001240623384,3.4964213277436,14.8079913060358,20.0144250400132
430,76243,18.3964119952076,0.932727467250166,1.58345945225958,20.9125989147173
